emp_id,name,email,age,department,designation,salary,working_hours,leaves,appraisal,appraisal_amount,performance_score,status
3,Zpfyxpr,zpfyxpr3@clientcompany.com,22,Tech,Senior,90301,199,7,Yes,15291,7,Active
6,Rbcrpfz,rbcrpfz6@clientcompany.com,21,Sales,Senior,84692,130,3,Yes,19431,8,Active
8,Sroepdx,sroepdx8@clientcompany.com,42,Support,Junior,66046,189,6,No,0,1,Active
9,Nyhwifr,nyhwifr9@clientcompany.com,43,Sales,Lead,46752,123,4,Yes,18161,6,Active
10,Wkvtorx,wkvtorx10@clientcompany.com,30,Sales,Junior,63181,156,5,No,0,8,Active
13,Ofbpiey,ofbpiey13@clientcompany.com,46,Support,Lead,72077,145,6,No,0,5,Active
17,Hmjrszb,hmjrszb17@clientcompany.com,43,Support,Mid,31792,167,7,Yes,5973,8,Active
18,Imljlhq,imljlhq18@clientcompany.com,29,Finance,Lead,87008,125,0,Yes,16203,10,Active
22,Wbubxjg,wbubxjg22@clientcompany.com,45,Finance,Junior,81588,191,4,Yes,5211,8,Active
24,Uqyatfr,uqyatfr24@clientcompany.com,34,HR,Lead,93270,198,6,No,0,9,Active
25,Zgmhodw,zgmhodw25@clientcompany.com,22,Support,Senior,155388,127,5,Yes,2560,5,Active
28,Gjyqgqx,gjyqgqx28@clientcompany.com,33,HR,Senior,159337,167,4,Yes,17343,3,Active
31,Fniagiy,fniagiy31@clientcompany.com,33,Support,Lead,133690,161,3,Yes,6789,10,Active
32,Dbzgbdk,dbzgbdk32@clientcompany.com,33,Sales,Senior,37169,152,2,No,0,8,Active
33,Cebeweq,cebeweq33@clientcompany.com,37,Finance,Junior,75333,119,3,Yes,10472,9,Active
35,Ecdyigj,ecdyigj35@clientcompany.com,39,Tech,Mid,65470,192,3,Yes,6923,1,Active
38,Ppjqkwm,ppjqkwm38@clientcompany.com,37,HR,Junior,34283,172,6,No,0,4,Active
39,Eysazgc,eysazgc39@clientcompany.com,30,Tech,Mid,39235,145,4,Yes,16303,7,Active
40,Annovgw,annovgw40@clientcompany.com,27,HR,Lead,116846,128,4,No,0,7,Active
41,Wxrktkg,wxrktkg41@clientcompany.com,33,Finance,Junior,68911,190,6,No,0,2,Active
42,Oayhlpk,oayhlpk42@clientcompany.com,46,Support,Mid,110206,170,6,Yes,15364,10,Active
43,Oltywgn,oltywgn43@clientcompany.com,31,HR,Junior,131329,141,7,Yes,8445,7,Active
45,Ktyoebn,ktyoebn45@clientcompany.com,33,HR,Lead,148455,142,5,No,0,9,Active
46,Hbuavev,hbuavev46@clientcompany.com,30,Tech,Mid,30334,154,7,Yes,6300,6,Active
53,Ltgsyts,ltgsyts53@clientcompany.com,24,Sales,Junior,80100,115,3,Yes,6415,7,Active
54,Qxtzguz,qxtzguz54@clientcompany.com,41,Finance,Lead,66756,119,6,Yes,6919,8,Active
55,Suepmok,suepmok55@clientcompany.com,29,Tech,Junior,101643,198,5,Yes,4751,9,Active
57,Tzrcvgg,tzrcvgg57@clientcompany.com,35,HR,Mid,157270,171,0,Yes,15244,6,Active
58,Pymjrxp,pymjrxp58@clientcompany.com,46,Finance,Lead,32523,147,3,No,0,10,Active
59,Cikxypj,cikxypj59@clientcompany.com,23,HR,Lead,97703,112,3,No,0,4,Active
60,Ipkwveh,ipkwveh60@clientcompany.com,29,Finance,Mid,132293,148,5,Yes,18724,4,Active
61,Czlbabd,czlbabd61@clientcompany.com,45,HR,Junior,125598,191,7,Yes,19933,4,Active
63,Fjwjsld,fjwjsld63@clientcompany.com,45,Sales,Senior,79449,161,1,No,0,7,Active
64,Osvjguo,osvjguo64@clientcompany.com,34,Tech,Senior,63795,112,3,No,0,8,Active
65,Pxycxei,pxycxei65@clientcompany.com,40,HR,Mid,31959,162,3,Yes,8675,7,Active
66,Xlyyqoh,xlyyqoh66@clientcompany.com,46,Finance,Senior,148132,134,2,Yes,4187,10,Active
67,Addgnmw,addgnmw67@clientcompany.com,24,Sales,Lead,147818,132,6,Yes,13421,4,Active
68,Axtpuxl,axtpuxl68@clientcompany.com,43,Sales,Junior,88220,152,2,No,0,2,Active
74,Usrmmoa,usrmmoa74@clientcompany.com,47,Support,Lead,60579,169,1,No,0,2,Active
76,Qqsoyxu,qqsoyxu76@clientcompany.com,33,HR,Mid,159699,176,0,Yes,5572,6,Active
78,Yjpvoqe,yjpvoqe78@clientcompany.com,35,HR,Junior,64088,131,3,Yes,15546,9,Active
80,Lwsxteb,lwsxteb80@clientcompany.com,46,Tech,Junior,129077,172,0,No,0,7,Active
82,Psgkjbz,psgkjbz82@clientcompany.com,41,Tech,Lead,91953,161,1,No,0,1,Active
