emp_id,name,email,age,department,designation,salary,working_hours,leaves,appraisal,appraisal_amount,performance_score,status
1,Ayush,izjoemt1@clientcompany.com,28,Tech,Lead,87011,196,7,Yes,7873,2,Bench
2,Babita,dilhcrg2@clientcompany.com,35,Tech,Mid,32922,174,2,Yes,10432,7,Bench
3,priyansh,zpfyxpr3@clientcompany.com,22,Tech,Senior,90301,199,7,Yes,15291,7,Active
4,gaurav,somkiws4@clientcompany.com,29,Sales,Senior,38040,188,2,No,0,3,Bench
5,Meghna,lhkkccb5@clientcompany.com,35,Support,Lead,101859,194,6,Yes,11280,5,Bench
6,rohit,rbcrpfz6@clientcompany.com,21,Sales,Senior,84692,130,3,Yes,19431,8,Active
7,Aman,qestzuh7@clientcompany.com,47,Tech,Mid,47383,179,3,No,0,7,Bench
8,Naman,sroepdx8@clientcompany.com,42,Support,Junior,66046,189,6,No,0,1,Active
9,Ajay,nyhwifr9@clientcompany.com,43,Sales,Lead,46752,123,4,Yes,18161,6,Active
10,Joker,wkvtorx10@clientcompany.com,30,Sales,Junior,63181,156,5,No,0,8,Active
11,Xomqtef,xomqtef11@clientcompany.com,46,HR,Senior,74163,168,7,No,0,2,Bench
12,Oltigyo,oltigyo12@clientcompany.com,37,Support,Mid,138864,116,6,Yes,7284,5,Bench
13,Ofbpiey,ofbpiey13@clientcompany.com,46,Support,Lead,72077,145,6,No,0,5,Active
14,Busygqy,busygqy14@clientcompany.com,36,HR,Mid,31073,122,4,Yes,8971,9,Bench
15,Wlrafvp,wlrafvp15@clientcompany.com,46,HR,Mid,43755,149,1,No,0,1,Bench
16,Ytckohv,ytckohv16@clientcompany.com,26,HR,Senior,56929,184,6,No,0,5,Bench
17,Hmjrszb,hmjrszb17@clientcompany.com,43,Support,Mid,31792,167,7,Yes,5973,8,Active
18,Imljlhq,imljlhq18@clientcompany.com,29,Finance,Lead,87008,125,0,Yes,16203,10,Active
19,Nhcbxgs,nhcbxgs19@clientcompany.com,46,HR,Lead,157246,184,5,No,0,9,Bench
20,Imhozjz,imhozjz20@clientcompany.com,48,Support,Mid,140272,157,6,Yes,16951,6,Bench
21,Nwzksen,nwzksen21@clientcompany.com,29,Support,Mid,141107,174,6,Yes,10587,10,Bench
22,Wbubxjg,wbubxjg22@clientcompany.com,45,Finance,Junior,81588,191,4,Yes,5211,8,Active
23,Tdktawg,tdktawg23@clientcompany.com,44,Support,Junior,73775,116,0,Yes,10701,9,Bench
24,Uqyatfr,uqyatfr24@clientcompany.com,34,HR,Lead,93270,198,6,No,0,9,Active
25,Zgmhodw,zgmhodw25@clientcompany.com,22,Support,Senior,155388,127,5,Yes,2560,5,Active
26,Hjkydgo,hjkydgo26@clientcompany.com,27,Sales,Senior,70074,135,1,No,0,3,Bench
27,Whacxvi,whacxvi27@clientcompany.com,24,HR,Lead,45287,116,3,No,0,8,Bench
28,Gjyqgqx,gjyqgqx28@clientcompany.com,33,HR,Senior,159337,167,4,Yes,17343,3,Active
29,Hfppayv,hfppayv29@clientcompany.com,21,Finance,Mid,36106,112,2,No,0,2,Bench
30,Oafocch,oafocch30@clientcompany.com,26,Finance,Junior,43631,151,6,No,0,3,Bench
31,Fniagiy,fniagiy31@clientcompany.com,33,Support,Lead,133690,161,3,Yes,6789,10,Active
32,Dbzgbdk,dbzgbdk32@clientcompany.com,33,Sales,Senior,37169,152,2,No,0,8,Active
33,Cebeweq,cebeweq33@clientcompany.com,37,Finance,Junior,75333,119,3,Yes,10472,9,Active
34,Uwkzbmz,uwkzbmz34@clientcompany.com,37,Tech,Mid,159628,143,7,No,0,2,Bench
35,Ecdyigj,ecdyigj35@clientcompany.com,39,Tech,Mid,65470,192,3,Yes,6923,1,Active
36,Sfaludx,sfaludx36@clientcompany.com,47,HR,Junior,54010,171,0,Yes,18253,9,Bench
37,Hipgcql,hipgcql37@clientcompany.com,22,Sales,Mid,138687,148,3,Yes,5294,6,Bench
38,Ppjqkwm,ppjqkwm38@clientcompany.com,37,HR,Junior,34283,172,6,No,0,4,Active
39,Eysazgc,eysazgc39@clientcompany.com,30,Tech,Mid,39235,145,4,Yes,16303,7,Active
40,Annovgw,annovgw40@clientcompany.com,27,HR,Lead,116846,128,4,No,0,7,Active
41,Wxrktkg,wxrktkg41@clientcompany.com,33,Finance,Junior,68911,190,6,No,0,2,Active
42,Oayhlpk,oayhlpk42@clientcompany.com,46,Support,Mid,110206,170,6,Yes,15364,10,Active
43,Oltywgn,oltywgn43@clientcompany.com,31,HR,Junior,131329,141,7,Yes,8445,7,Active
44,Jqkhcgz,jqkhcgz44@clientcompany.com,44,Tech,Senior,131025,143,4,Yes,15377,10,Bench
45,Ktyoebn,ktyoebn45@clientcompany.com,33,HR,Lead,148455,142,5,No,0,9,Active
46,Hbuavev,hbuavev46@clientcompany.com,30,Tech,Mid,30334,154,7,Yes,6300,6,Active
47,Swhiwid,swhiwid47@clientcompany.com,41,Support,Mid,144269,157,4,No,0,10,Bench
48,Ruejuiw,ruejuiw48@clientcompany.com,25,Support,Mid,43610,147,4,No,0,5,Bench
49,Gpvszpk,gpvszpk49@clientcompany.com,24,Sales,Senior,119562,118,4,Yes,12554,2,Bench
50,Fzjvjdw,fzjvjdw50@clientcompany.com,37,Tech,Lead,39330,187,4,No,0,2,Bench
51,Pzhndeg,pzhndeg51@clientcompany.com,29,Tech,Junior,108045,158,0,Yes,13745,4,Bench
52,Mxjimyj,mxjimyj52@clientcompany.com,38,Sales,Mid,149225,170,0,Yes,8551,3,Bench
53,Ltgsyts,ltgsyts53@clientcompany.com,24,Sales,Junior,80100,115,3,Yes,6415,7,Active
54,Qxtzguz,qxtzguz54@clientcompany.com,41,Finance,Lead,66756,119,6,Yes,6919,8,Active
55,Suepmok,suepmok55@clientcompany.com,29,Tech,Junior,101643,198,5,Yes,4751,9,Active
56,Ccuynst,ccuynst56@clientcompany.com,37,Sales,Mid,51655,182,1,Yes,18953,1,Bench
57,Tzrcvgg,tzrcvgg57@clientcompany.com,35,HR,Mid,157270,171,0,Yes,15244,6,Active
58,Pymjrxp,pymjrxp58@clientcompany.com,46,Finance,Lead,32523,147,3,No,0,10,Active
59,Cikxypj,cikxypj59@clientcompany.com,23,HR,Lead,97703,112,3,No,0,4,Active
60,Ipkwveh,ipkwveh60@clientcompany.com,29,Finance,Mid,132293,148,5,Yes,18724,4,Active
61,Czlbabd,czlbabd61@clientcompany.com,45,HR,Junior,125598,191,7,Yes,19933,4,Active
